Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
IOVA,"Iovance Biotherapeutics Inc",+126.30,24.71,0.21,+0.86%,26.59,7.26,+149.60%,12/04/19
FRTA,"Forterra Inc",+125.60,11.05,0.04,+0.36%,11.75,3.25,+122.78%,12/04/19
DRD,"Drdgold Ltd",+125.00,4.7,0.25,+5.62%,5.2,1.64,+121.70%,12/04/19
COUP,"Coupa Software Inc",+124.50,150.33,0.38,+0.25%,159.97,52.02,+146.46%,12/04/19
BLD,"Topbuild Corp",+124.00,109.28,-0.31,-0.28%,113.74,41.27,+131.72%,12/04/19
AXU,"Alexco Resource Corp",+123.00,2.1,0.14,+7.14%,2.81,0.75,+167.52%,12/04/19
PODD,"Insulet Corp",+123.00,182.89,-1.15,-0.62%,187.25,70.8,+121.31%,12/04/19
DYAI,"Dyadic International",+122.40,6,-0.19,-3.07%,7.3,1.73,+218.30%,12/04/19
PCTI,"Pc-Tel Inc",+120.70,8.92,-0.08,-0.89%,9.4,3.88,+111.37%,12/04/19
BLDR,"Builders Firstsource",+118.30,25.22,0.04,+0.16%,26.06,10.15,+105.96%,12/04/19
AVP,"Avon Products",+116.90,4.78,0.01,+0.21%,4.88,1.3,+132.04%,12/04/19
SGEN,"Seattle Genetics Inc",+116.30,118.35,-0.58,-0.49%,122.36,51.5,+93.76%,12/04/19
ARVN,"Arvinas Inc",+115.90,38.92,1.26,+3.35%,39.33,10.19,+128.94%,12/04/19
RETA,"Reata Pharma",+115.70,204.6,1.95,+0.96%,222.33,47.5,+225.54%,12/04/19
ARQL,"Arqule Inc",+115.60,9.3,0.19,+2.09%,12.22,2.23,+150.67%,12/04/19
CPRX,"Catalyst Pharm Inc",+115.50,4.64,0.08,+1.75%,7.67,1.85,+101.74%,12/04/19
TNK,"Teekay Tankers Ltd",+115.50,18.94,-0.48,-2.47%,21.03,6.96,+109.51%,12/04/19
OESX,"Orion Energy Syst",+114.50,3.02,0.08,+2.72%,3.84,0.53,+313.70%,12/04/19
SEDG,"Solaredge Tech",+113.60,86.54,-1.5,-1.70%,96.69,32.42,+124.55%,12/04/19
PRVB,"Provention Bio Inc",+113.50,10.68,0.48,+4.71%,22.82,1.52,+315.56%,12/04/19
LSCC,"Lattice Semicond",+112.20,18.45,-0.25,-1.34%,21.58,6.18,+183.41%,12/04/19
EPIX,"Essa Pharma",+111.90,5.6,0.61,+12.22%,5.75,1.41,+116.22%,12/04/19
XBIT,"Xbiotech Inc",+111.70,11.33,0.42,+3.85%,15.32,4.1,+166.59%,12/04/19
LAD,"Lithia Motors",+110.90,157.07,-0.07,-0.04%,165.26,67.9,+102.02%,12/04/19
EHTH,"Ehealth Inc",+110.10,91.65,0.51,+0.56%,112.22,34.04,+141.18%,12/04/19
DRRX,"Durect Corp",+109.80,2.06,-0.14,-6.36%,2.46,0.46,+145.24%,12/04/19
ROAD,"Construction Partners Inc Cl A",+109.40,19.2,0.08,+0.42%,20.25,7.7,+104.26%,12/04/19
CZZ,"Cosan Ltd",+109.10,18.09,0.5,+2.84%,18.14,8.04,+108.65%,12/04/19
AVLR,"Avalara Inc",+108.30,75.23,-0.24,-0.32%,94.31,28.89,+146.01%,12/04/19
CUTR,"Cutera Inc",+108.30,37.47,-0.8,-2.09%,39.15,12.32,+97.42%,12/04/19
TLRA,"Telaria Inc",+107.90,8.07,-0.29,-3.47%,10.66,2.56,+179.24%,12/04/19
VCYT,"Veracyte Inc",+107.70,28.34,2.08,+7.94%,31.18,10.73,+134.84%,12/04/19
GLPG,"Galapagos NV",+107.60,205.71,4.08,+2.02%,206,85,+103.96%,12/04/19
RDVT,"Red Violet Inc",+106.40,16.65,-0.41,-2.40%,19.5,5.51,+134.51%,12/04/19
MODN,"Model N Inc",+106.30,29.46,-0.09,-0.30%,32,12.98,+114.41%,12/04/19
INS,"Intelligent Systems Corp",+106.20,41.31,-1.5,-3.50%,56.24,11.22,+201.53%,12/04/19
"Downloaded from Barchart.com as of 12-05-2019 12:18am CST"
